dept,treatment,success,age_group,income
B_easy,0,1,old,56488.76890379781
A_hard,1,0,young,60414.0654210176
B_easy,0,1,young,43478.78683228824
B_easy,0,1,young,44383.1779891109
A_hard,0,0,young,29636.620933529368
A_hard,1,1,middle,39595.0861886102
A_hard,1,0,old,26571.146761322307
A_hard,1,1,old,44271.42766801094
A_hard,1,1,middle,42517.647080537
A_hard,1,0,middle,33202.2732900138
A_hard,0,0,young,58106.493810842934
B_easy,0,1,middle,59107.492075698945
A_hard,1,0,young,60939.71046047706
A_hard,1,1,old,42074.25223193352
A_hard,1,0,middle,44637.07667652968
A_hard,0,0,young,36558.26392977434
A_hard,1,1,young,44894.301891967734
A_hard,1,0,young,55683.4695919807
A_hard,1,0,old,38829.98651594553
A_hard,1,0,young,52776.179438019964
B_easy,0,1,young,47808.795584313884
A_hard,1,0,young,56385.758482833146
A_hard,1,0,old,36301.41259032109
A_hard,1,0,middle,57775.19809843576
A_hard,0,0,middle,45914.64813650498
A_hard,1,0,young,67814.30600086595
A_hard,1,0,young,27688.984106186865
B_easy,0,1,old,37857.34840032198
A_hard,1,0,young,35756.741310366495
A_hard,1,0,young,24230.835779485304
B_easy,0,1,middle,39258.97658357584
A_hard,1,0,young,54323.261406898135
A_hard,1,0,young,44937.31809881012
A_hard,1,1,old,37804.78534943612
B_easy,1,1,middle,54195.56104041852
A_hard,1,0,young,36041.43503510491
A_hard,1,0,young,69755.53751728566
A_hard,1,0,middle,33967.41438535445
A_hard,1,0,young,25167.99152875051
A_hard,1,1,young,56940.759262294916
A_hard,1,1,middle,41763.665649782684
A_hard,1,0,middle,75581.60533226829
A_hard,1,0,old,37106.91541808797
A_hard,1,0,young,57689.76269635188
A_hard,1,0,young,61232.95995898958
A_hard,1,0,middle,37179.96251696994
A_hard,1,0,middle,33856.188481364465
B_easy,0,0,young,71120.49796396357
B_easy,0,1,middle,68623.37876870896
A_hard,1,0,young,23840.848489336102
A_hard,1,0,old,28073.465455429192
B_easy,0,1,old,21953.549925779924
B_easy,0,0,middle,68930.80280968203
B_easy,0,1,old,56072.59210296382
A_hard,1,0,old,42567.74368537077
A_hard,0,0,young,19628.3385344722
A_hard,1,1,young,28528.46470366011
B_easy,0,1,middle,52830.616311486505
A_hard,1,0,young,34915.11599778269
A_hard,1,1,young,46767.54113276447
A_hard,1,1,young,53752.02189947721
A_hard,1,0,old,79044.18853927797
A_hard,1,1,middle,44699.74454953612
B_easy,0,1,middle,76731.03994645418
B_easy,0,1,young,47550.40834530338
B_easy,0,0,young,34875.80527536966
A_hard,1,0,old,39715.47529934813
A_hard,1,0,young,21034.174231886376
A_hard,1,1,young,45220.09750753655
A_hard,1,1,young,33293.18813237002
A_hard,1,1,middle,15685.929198681217
A_hard,1,0,young,71040.37718790266
A_hard,1,1,young,36936.5743034193
A_hard,1,0,young,20435.71045583703
A_hard,1,0,young,58472.57685760935
A_hard,1,0,young,34070.784561910725
A_hard,1,1,middle,61352.490505359936
A_hard,1,1,young,33999.08497982926
A_hard,1,0,young,36886.53464605804
B_easy,0,1,middle,65172.475642155696
A_hard,1,0,middle,53898.290710561654
A_hard,1,0,young,56527.25606010898
A_hard,1,0,young,43653.882919060066
A_hard,1,0,young,52929.250823318755
B_easy,1,1,old,71184.4291038513
A_hard,1,1,young,48008.53707850275
B_easy,0,1,young,57860.128301035555
A_hard,1,1,middle,23320.57577653305
A_hard,1,0,young,53987.612351699834
A_hard,1,0,young,45632.60548711726
B_easy,0,1,young,53795.762214739385
A_hard,1,0,middle,64166.4954538749
A_hard,1,0,middle,23582.495506300264
A_hard,1,0,middle,69660.5447304733
A_hard,1,0,middle,44665.90082048302
A_hard,1,0,young,49762.77267754348
A_hard,1,0,old,39074.33828204594
A_hard,1,0,middle,19993.906312150048
B_easy,0,1,old,57905.851523013305
B_easy,0,1,middle,65021.173603391886
A_hard,1,0,young,55143.38169603891
A_hard,1,0,young,42029.50202341648
A_hard,1,0,middle,12111.90238193373
A_hard,1,0,young,21875.079831260617
A_hard,1,1,middle,75780.2943564494
A_hard,1,0,young,28611.960243418267
B_easy,0,1,young,81405.74187358812
B_easy,0,1,old,45988.698938736066
A_hard,1,0,middle,42263.16135408199
B_easy,0,1,middle,69378.12389399856
A_hard,1,1,young,32697.083301286897
A_hard,1,0,middle,68883.22703638581
A_hard,1,0,old,46135.92537102616
A_hard,1,0,middle,51912.762694495046
B_easy,0,1,middle,55985.894879713116
B_easy,0,1,middle,69880.80430525636
A_hard,1,0,young,68681.89109774794
B_easy,0,1,middle,58030.71093565178
A_hard,1,1,old,70945.69186123855
A_hard,1,0,middle,35826.06287431323
A_hard,1,1,young,56461.44059027565
B_easy,0,1,middle,67336.71504364575
A_hard,1,1,middle,28971.26890976446
A_hard,1,0,old,48207.14556955998
A_hard,1,0,middle,45110.48906775559
B_easy,0,0,young,47202.117355847324
B_easy,0,1,young,65370.036512911895
B_easy,0,1,middle,62194.34319162776
B_easy,1,1,young,58911.19579039175
B_easy,0,1,middle,58971.337964119724
A_hard,1,0,old,43649.84611614571
A_hard,1,0,middle,39484.50568130509
B_easy,0,0,young,62097.51142522472
A_hard,1,1,middle,35341.286814543295
A_hard,1,0,middle,84852.14237204999
A_hard,1,0,young,23860.001318020262
B_easy,0,1,middle,51228.958841483116
A_hard,1,0,middle,37413.86843134589
B_easy,0,1,old,90607.40121486806
A_hard,1,0,young,25197.98025033751
A_hard,1,0,young,51388.83446979165
B_easy,1,1,middle,63725.9109756981
A_hard,1,0,young,50004.03457011822
A_hard,1,0,middle,63545.14743916411
A_hard,1,0,middle,63237.44039620632
B_easy,0,0,young,53235.64760219824
A_hard,1,0,middle,47910.261742409864
A_hard,1,0,old,17038.46951771784
B_easy,1,1,middle,61486.39512782894
B_easy,0,1,middle,48090.15858252121
A_hard,1,0,middle,42204.26361059225
A_hard,1,0,young,19719.422027749577
A_hard,1,0,young,51073.08430078613
A_hard,1,1,middle,19551.469566365882
A_hard,1,0,young,47224.2691018738
A_hard,1,0,young,26602.41610466176
A_hard,1,0,young,32255.384472961727
A_hard,1,0,old,62320.98153817744
A_hard,1,0,young,53818.76918870433
A_hard,1,0,middle,62238.04706505814
A_hard,1,0,young,68395.90698751935
B_easy,0,1,middle,48407.419392903525
B_easy,0,1,young,82484.57493661308
B_easy,0,1,young,38017.41515731648
A_hard,1,0,middle,56191.50501817355
A_hard,1,0,middle,37599.93428100043
B_easy,0,0,young,46045.49786041025
A_hard,1,0,middle,54217.048009566635
A_hard,1,0,middle,59174.2728775382
A_hard,1,0,young,58729.02579969817
A_hard,1,0,middle,48222.89833342188
B_easy,0,1,young,61979.35951993859
A_hard,1,0,middle,52902.99878549854
B_easy,0,0,young,64556.46113275787
A_hard,1,0,middle,53120.33759378971
A_hard,1,0,young,48059.991916660714
A_hard,1,0,middle,57641.757367595455
A_hard,1,0,middle,20591.882901743582
A_hard,1,1,old,43030.897873704205
A_hard,1,0,middle,24242.30259231621
B_easy,0,1,old,64150.53026407327
A_hard,1,1,young,69628.95263780546
B_easy,0,1,young,52888.72827079547
B_easy,0,1,young,61908.78045445823
A_hard,1,0,middle,56347.300723824585
B_easy,0,0,middle,28984.15602350213
A_hard,1,0,old,37168.34276783718
A_hard,1,0,middle,50467.73488909275
B_easy,0,1,middle,16545.079115140878
B_easy,0,1,young,45347.87260387543
A_hard,1,0,young,61512.869600719336
A_hard,1,0,middle,60044.953506760874
A_hard,1,0,young,50614.773410551505
B_easy,0,1,young,73232.96459914767
A_hard,1,1,old,48226.563516321956
A_hard,1,0,old,53330.92361163472
A_hard,1,0,middle,40265.194367390795
A_hard,1,1,young,46737.19024383139
A_hard,1,0,old,35514.444203762665
B_easy,0,1,young,78952.25016273471
A_hard,1,0,middle,67823.39114253303
A_hard,1,0,young,65698.6920104561
A_hard,0,0,old,38878.368574832064
B_easy,0,1,old,45693.38940952369
B_easy,0,1,middle,79154.60491125245
A_hard,1,0,young,53158.60803887119
A_hard,1,1,middle,49928.76512285464
A_hard,1,0,young,35495.51872582281
A_hard,1,1,old,51384.957189551475
B_easy,1,1,young,43720.829105070974
A_hard,1,0,young,54510.93534118548
A_hard,1,1,middle,65683.30049409316
B_easy,0,1,middle,84465.68315861929
A_hard,1,0,old,55627.86081164724
A_hard,1,0,young,24269.676755683176
A_hard,1,1,old,47959.951964190324
A_hard,1,1,young,77095.2261608657
A_hard,1,1,young,31970.82614336574
A_hard,1,1,middle,44112.27640634675
A_hard,1,0,young,66202.86527701466
A_hard,1,1,middle,54257.00883110378
A_hard,1,1,young,82202.34486727657
A_hard,1,0,young,34006.95925157117
A_hard,1,0,middle,30153.663213887674
A_hard,1,0,young,63361.8815375276
A_hard,1,1,middle,27061.820575926962
B_easy,0,1,middle,57048.480167736954
B_easy,0,1,young,59015.301827106356
A_hard,0,0,middle,60539.84210078884
A_hard,1,0,young,54214.0195203787
A_hard,1,0,young,51855.973712652936
A_hard,1,0,young,38963.536831475
A_hard,1,1,old,63225.06028622914
A_hard,1,0,middle,105387.36064090897
A_hard,1,1,middle,55369.23148384374
A_hard,1,0,old,46495.08311320255
A_hard,1,1,young,25532.055435117592
A_hard,1,0,old,35437.778260242696
B_easy,0,1,middle,56794.34649079044
A_hard,1,0,old,36980.99639599301
B_easy,0,1,old,59758.83248209728
A_hard,1,0,old,71670.24115210932
B_easy,0,1,young,78707.50376053852
B_easy,0,1,middle,57617.50925297619
B_easy,0,1,old,41875.80083001209
B_easy,0,1,middle,80060.5146435362
B_easy,0,1,young,59264.18589807954
A_hard,1,0,old,19102.493615964675
B_easy,0,1,young,70686.45177739554
A_hard,1,0,middle,60385.30026350198
A_hard,1,1,middle,8611.373925979962
A_hard,1,0,young,32631.680368006448
B_easy,0,1,middle,58343.18983038429
A_hard,1,0,young,56017.66366962926
A_hard,1,0,middle,37263.80123063743
A_hard,1,0,old,32517.87147039095
A_hard,1,1,young,55907.538745204234
A_hard,1,0,middle,37975.16440028761
A_hard,1,0,young,53130.81975823046
A_hard,1,1,old,28327.265175381137
A_hard,1,0,old,24715.00471145402
A_hard,1,1,young,56329.03736355595
A_hard,1,0,middle,48787.79865475821
A_hard,1,0,middle,58836.83599854311
A_hard,1,1,middle,37011.104986178376
A_hard,1,1,middle,33073.42046280383
A_hard,1,1,middle,65410.78331311366
B_easy,0,1,middle,37155.61854008295
B_easy,1,1,young,78771.91063770937
A_hard,1,0,young,64807.57061223575
A_hard,1,0,old,57901.34271399113
A_hard,1,0,young,34682.88724484328
B_easy,0,1,middle,47752.14244911961
A_hard,0,0,young,41849.16340502701
B_easy,0,1,old,40574.404847529004
A_hard,1,0,middle,30574.59001869605
A_hard,1,1,middle,54671.01437263569
A_hard,1,1,young,54740.236713362356
B_easy,0,1,middle,44256.377601975655
A_hard,0,1,old,55141.82902950112
A_hard,1,0,middle,51814.54958609709
B_easy,0,1,middle,82648.29381865656
A_hard,1,1,middle,53537.046628012824
A_hard,1,0,young,60878.715806015665
A_hard,1,0,middle,52156.16386395317
B_easy,0,1,young,74698.93664545781
A_hard,1,0,young,25693.242651483375
B_easy,0,1,middle,58173.8331433363
A_hard,1,0,old,44415.258476587056
B_easy,0,1,old,56343.750795970765
B_easy,0,1,old,66658.29945475089
A_hard,1,0,middle,54515.69481743626
B_easy,0,1,young,65883.85615606722
B_easy,0,0,middle,57345.841781679934
B_easy,0,1,old,48964.04880232313
A_hard,1,1,middle,61457.79111234352
A_hard,1,0,middle,50245.99224920753
A_hard,1,1,middle,29720.792124008876
A_hard,1,0,middle,42094.68687525564
A_hard,1,0,old,18850.50483438958
A_hard,1,0,middle,45530.559215211644
A_hard,1,0,middle,42024.30086102106
A_hard,1,1,young,36382.99574466993
A_hard,1,0,middle,68769.00284705294
B_easy,0,0,young,42657.68820686832
B_easy,0,1,old,70595.89427523503
A_hard,1,0,middle,77800.6224139781
A_hard,1,0,middle,61159.018555750314
B_easy,0,1,young,59526.918268533496
A_hard,1,0,middle,27988.970408650086
A_hard,1,0,middle,24569.06735123317
A_hard,1,1,young,38826.72457563717
A_hard,1,0,old,34694.98899129138
A_hard,1,0,young,34206.79636562802
B_easy,1,1,middle,55105.29816793134
A_hard,1,0,young,43466.293606714695
A_hard,1,0,middle,52278.17921467945
B_easy,0,1,middle,41433.05670806357
B_easy,0,1,old,49766.34305800425
A_hard,1,0,young,42604.91875766278
A_hard,1,0,old,42067.722098650964
A_hard,1,0,middle,72546.35561120135
A_hard,1,0,young,48483.698890857864
A_hard,1,0,young,20796.152820608633
B_easy,0,1,young,66272.72042380147
A_hard,1,0,old,53184.95584115968
A_hard,1,1,young,43123.07957632893
B_easy,0,1,middle,41799.04988386198
A_hard,1,0,middle,71370.82042970194
B_easy,0,1,old,43951.74129628114
B_easy,0,1,middle,69911.583096239
A_hard,1,0,middle,48000.75793595903
A_hard,1,1,young,54012.15823544655
B_easy,0,0,old,85602.86886250995
B_easy,0,1,young,68424.58308211553
B_easy,0,1,young,51620.036594347
A_hard,1,0,old,61589.88412691941
B_easy,0,1,young,50533.50824933821
A_hard,1,0,young,47453.37017092902
A_hard,1,1,middle,25603.745879763148
A_hard,1,0,young,29500.781589948718
A_hard,1,0,young,45770.800056542794
A_hard,1,0,middle,50521.300628713085
A_hard,0,0,middle,19464.140659634544
B_easy,0,1,middle,67459.31052000997
A_hard,1,1,young,32708.565351025536
A_hard,1,0,middle,64195.3202350675
A_hard,1,1,old,39720.533567632374
A_hard,1,1,young,28145.665956750214
B_easy,0,1,young,61137.068369388784
B_easy,0,1,young,46256.47498381912
A_hard,1,0,middle,64034.177121496876
B_easy,0,1,young,60007.953112996496
B_easy,0,1,middle,57724.85065360069
A_hard,1,1,old,53877.01528396512
B_easy,0,1,young,44925.7884119956
A_hard,1,1,middle,25662.69517007229
B_easy,0,1,young,66125.27369162455
A_hard,1,0,young,28504.939379867865
A_hard,0,0,middle,28499.84769375815
A_hard,1,0,middle,57551.34046831331
B_easy,0,1,old,67875.96164975909
A_hard,1,0,middle,26192.55686320633
A_hard,1,1,young,35712.95935587995
A_hard,1,0,middle,31444.026660805197
B_easy,0,1,young,86644.7894706087
A_hard,1,0,old,58590.156413559125
B_easy,0,1,middle,53687.32730992089
A_hard,1,0,young,53642.920340152385
A_hard,1,0,middle,24657.20721103756
A_hard,1,0,middle,34910.307732157606
A_hard,1,0,middle,46572.948989128294
A_hard,1,0,young,51783.46123718869
B_easy,0,1,young,58538.11311729834
A_hard,1,0,young,48720.20266071339
B_easy,0,1,young,61175.046899296896
A_hard,1,0,middle,42546.33896966524
B_easy,0,1,young,55557.816117136594
B_easy,0,1,middle,53606.026909833236
B_easy,0,0,middle,63479.06262942882
A_hard,1,1,young,51162.233837991844
B_easy,0,1,old,62975.38750978251
A_hard,1,0,middle,27321.044249984105
A_hard,0,0,young,30016.08223285219
A_hard,1,1,middle,50983.22708922101
A_hard,1,0,young,67075.09951006317
B_easy,0,1,old,62286.23192338133
A_hard,1,0,middle,38824.973812845084
B_easy,1,1,middle,63365.106831641635
A_hard,1,0,old,27947.678662298567
B_easy,0,0,old,79634.14734804696
A_hard,1,1,old,47798.91216762042
A_hard,1,0,young,34958.141801841775
B_easy,0,1,young,57498.068008606875
B_easy,0,1,middle,52094.456519045765
A_hard,1,0,middle,64675.049652252506
A_hard,1,0,middle,41966.398658294114
A_hard,1,0,middle,47330.48619173389
A_hard,0,1,young,53605.89684976938
B_easy,0,0,young,48888.50094353187
B_easy,0,1,middle,62905.641992027355
A_hard,1,0,young,49116.53354091315
A_hard,1,0,middle,21688.817684690683
A_hard,1,0,middle,48790.44733166415
B_easy,0,1,middle,59313.569025852914
A_hard,1,0,middle,46949.49438173995
B_easy,0,1,middle,60534.4457023585
A_hard,1,1,middle,48887.54809425123
A_hard,1,0,young,65060.14838514237
A_hard,1,0,middle,27307.388818723357
B_easy,0,1,middle,54867.714967493695
A_hard,1,1,young,54999.27943444255
A_hard,1,0,middle,52213.88801591867
A_hard,1,0,old,51891.083300131264
A_hard,1,0,young,86303.65823510007
B_easy,0,1,middle,69212.03286175059
A_hard,1,1,old,61964.06694382537
A_hard,1,0,old,40393.919117212376
A_hard,1,1,middle,30106.31439154077
A_hard,1,0,middle,40285.23856149549
A_hard,1,0,old,55679.40257015106
A_hard,1,0,middle,51102.41782243763
A_hard,1,0,young,51048.7705589832
A_hard,1,0,young,41784.834198043085
A_hard,1,0,middle,39392.96071780537
A_hard,1,0,middle,42302.141335600834
A_hard,1,1,young,55867.13175247819
A_hard,1,1,young,57610.91142255627
A_hard,1,0,middle,29906.375254931583
A_hard,1,0,middle,56435.13839147174
A_hard,1,1,old,35239.18153865656
A_hard,1,0,middle,52033.8247776158
A_hard,1,1,old,42120.513863062675
A_hard,1,0,old,68486.82823858477
A_hard,1,1,young,38728.880565282816
A_hard,1,0,middle,47679.17761342175
A_hard,1,0,young,54098.897363391414
A_hard,1,0,old,31890.61724815677
B_easy,0,1,young,58907.14416859582
A_hard,1,1,middle,41001.22673065294
A_hard,1,1,old,37292.7977489104
A_hard,1,0,young,38404.15497775141
B_easy,0,1,old,76680.21897205192
A_hard,1,0,young,36021.738978595
A_hard,1,0,middle,53496.11824007409
A_hard,1,0,middle,49718.925030467166
A_hard,1,1,young,24045.298263372362
A_hard,1,1,middle,52787.541576396616
B_easy,0,1,old,38797.301853634584
B_easy,0,1,young,69421.37742247741
B_easy,0,1,middle,52392.12535303728
A_hard,1,0,old,45125.508798846786
A_hard,1,0,middle,25585.800755604916
B_easy,0,1,young,61835.73485407224
A_hard,1,0,old,58904.25626955929
B_easy,0,1,young,47895.51857966069
A_hard,1,1,middle,35892.493707839836
A_hard,1,0,middle,51819.31535351234
A_hard,1,0,middle,52194.27485470409
B_easy,0,1,young,23487.310523872402
A_hard,1,1,young,75231.0954567416
A_hard,1,0,middle,52928.30225322497
A_hard,1,0,young,55453.779936794424
A_hard,1,0,middle,42846.89330006974
A_hard,1,0,middle,17169.697371716327
B_easy,0,1,middle,70120.8309187536
A_hard,1,1,young,36522.179576536706
B_easy,0,1,young,68158.9754127501
B_easy,0,1,old,56717.98394605907
A_hard,1,0,middle,48570.59068674566
A_hard,1,1,young,33375.05427886133
A_hard,1,1,young,57965.83414018397
A_hard,1,0,young,27174.314408134924
A_hard,1,0,old,78683.54138008785
B_easy,0,1,young,93569.22952480518
B_easy,0,1,young,84490.49378199766
B_easy,0,1,middle,79132.18478661765
A_hard,1,0,young,43731.77462649538
A_hard,1,1,young,62498.20058620813
B_easy,0,1,old,58557.352525858085
A_hard,1,0,middle,21697.236866320396
A_hard,1,0,young,67548.02121046031
A_hard,1,0,middle,61932.36694383758
A_hard,1,0,young,44529.91338516847
A_hard,1,0,young,26622.236140032746
A_hard,1,1,middle,36206.98985131539
A_hard,1,0,middle,17682.816226687355
B_easy,1,1,middle,74176.21278926966
B_easy,0,1,old,35950.365497037295
A_hard,1,0,young,49302.463052200146
B_easy,0,0,old,47344.59978330468
B_easy,0,1,middle,38599.44832500785
A_hard,1,0,young,48575.32639917858
A_hard,1,0,old,39993.00922031953
A_hard,1,1,young,57572.836581380514
A_hard,1,0,middle,25985.920969069397
B_easy,0,1,middle,48640.28031789267
A_hard,1,0,young,9185.36687263663
A_hard,1,0,old,12234.79976508116
A_hard,1,0,young,71972.8861496777
A_hard,1,0,old,76253.97366149504
B_easy,0,1,young,61390.893078359295
A_hard,1,0,young,32642.56851140232
A_hard,1,0,young,40523.266117648396
A_hard,1,1,old,58103.61303729546
A_hard,1,0,young,37284.16470266931
A_hard,1,0,old,48564.508005625335
A_hard,1,0,young,44808.65924278126
A_hard,1,1,middle,36467.80994875713
A_hard,1,0,young,37107.108810121936
B_easy,0,1,young,64399.813075282626
A_hard,1,1,old,30346.67795418838
A_hard,1,0,middle,51775.940184352745
A_hard,1,0,middle,37926.31560526227
B_easy,0,1,middle,61910.50956972345
A_hard,1,0,middle,65759.43849252838
A_hard,1,0,middle,42477.11932159571
A_hard,1,0,old,58797.06510287988
A_hard,1,0,middle,18119.50716174257
B_easy,0,0,middle,52944.55479539108
A_hard,1,0,middle,45415.32931614109
B_easy,0,1,middle,88849.96018809688
B_easy,0,1,middle,30600.718751101642
A_hard,1,0,middle,43556.852071608344
B_easy,0,1,middle,81850.33276374394
A_hard,1,0,middle,33224.69392099692
B_easy,0,1,old,56807.417843614945
A_hard,1,0,old,49976.08477583309
A_hard,1,0,old,47767.6283058417
A_hard,1,1,middle,68486.55713181621
A_hard,1,1,middle,51727.10715109848
A_hard,1,1,young,64916.593432713285
B_easy,0,1,middle,54599.87464035133
A_hard,1,1,young,33892.11883124555
A_hard,1,0,young,41614.15210470547
A_hard,1,1,old,27613.453599485976
A_hard,1,0,old,52252.67544315143
A_hard,1,1,middle,39211.82830867131
B_easy,0,1,young,49923.16650033787
A_hard,1,0,middle,52479.87614431503
A_hard,1,0,middle,27844.26333038567
A_hard,1,0,old,56557.53320783692
A_hard,1,0,old,37824.93917262959
A_hard,1,1,young,62386.44666141276
B_easy,0,1,young,54108.93632655649
A_hard,1,0,young,54478.644998368865
B_easy,0,1,young,62693.435606593586
A_hard,1,0,young,56158.5281057173
A_hard,1,0,young,46649.20338221441
B_easy,0,0,young,35049.038814851345
B_easy,0,0,young,75131.90308863198
B_easy,0,1,young,58684.75616313139
B_easy,0,1,middle,71842.7411603222
B_easy,0,1,young,70353.69715303284
B_easy,0,0,old,48400.55278482987
A_hard,1,0,young,31278.06892237055
B_easy,0,1,young,69830.32652173506
A_hard,1,1,young,40451.26455884229
A_hard,1,1,middle,59046.43919199746
A_hard,1,0,young,42326.98585705465
B_easy,0,1,middle,75351.14666172431
B_easy,0,1,young,66349.56726313653
A_hard,1,0,old,49319.624905712226
B_easy,0,1,young,54389.83201889588
B_easy,0,1,middle,63486.41421092275
A_hard,1,0,old,62892.79072429064
A_hard,1,0,young,44186.768120050205
A_hard,1,0,young,52967.61665525783
B_easy,1,1,old,60695.40114374559
A_hard,0,1,young,46869.06064118133
B_easy,1,1,young,85851.16135407449
A_hard,1,1,middle,63025.95046559327
B_easy,0,1,young,61191.05722793577
A_hard,1,0,old,48216.81131904051
B_easy,0,1,middle,49471.94244673547
A_hard,1,0,middle,42405.4268060257
A_hard,1,0,young,49640.96681322923
B_easy,0,1,middle,72759.20384353692
B_easy,0,1,middle,71238.31345366378
B_easy,0,1,young,43361.11416143234
A_hard,1,0,old,59654.74096017947
A_hard,1,0,middle,43668.39480933671
A_hard,1,0,middle,30195.12966483693
A_hard,1,0,young,65045.77106147882
A_hard,1,0,young,66949.1849510693
B_easy,0,1,middle,63956.2047351099
B_easy,0,1,middle,70631.90402857852
B_easy,0,1,young,71511.73813116648
B_easy,0,1,young,80936.58229218377
B_easy,0,1,old,70921.02788147588
A_hard,1,0,young,25084.67583842147
A_hard,1,0,young,75147.11623456691
A_hard,1,0,middle,60984.853342200644
B_easy,0,0,young,52357.13692090853
A_hard,1,1,young,29555.623914638854
A_hard,1,0,young,52572.20145606126
A_hard,1,0,old,40826.09942448631
A_hard,1,0,young,49949.93030998439
A_hard,1,0,middle,56151.10261917395
B_easy,0,1,old,51503.37168004807
A_hard,1,0,middle,28258.380109734935
A_hard,1,0,middle,50787.27701807967
B_easy,1,1,middle,51999.18217084539
A_hard,1,1,young,47191.43678598597
B_easy,0,0,middle,39850.10344556603
A_hard,1,0,old,41217.259132880434
A_hard,1,0,middle,55724.27836559995
A_hard,1,0,middle,54088.98761470195
A_hard,1,0,young,33174.630436900974
B_easy,0,0,old,42476.034460229224
A_hard,1,0,young,45236.45534627688
A_hard,1,0,old,53415.49195529113
A_hard,1,0,young,51077.62710288826
B_easy,0,1,middle,52317.602334580355
B_easy,0,1,old,64467.36663729905
B_easy,0,1,middle,82535.33206913993
A_hard,1,1,young,48077.17030963541
A_hard,1,0,old,20502.7809627207
A_hard,1,0,young,48048.00507150963
A_hard,1,0,young,75659.35456818914
B_easy,0,1,middle,40689.137803266065
B_easy,0,1,middle,60445.869927435335
A_hard,1,0,middle,41604.96850451799
A_hard,1,0,young,46438.24438912596
B_easy,0,1,middle,62913.78229730658
A_hard,1,0,old,62099.57979094387
A_hard,1,0,young,46271.74929601216
A_hard,1,1,middle,64158.89335818071
A_hard,1,1,middle,43235.16511820276
A_hard,1,0,old,39747.9483903805
A_hard,1,1,middle,34962.25525442092
A_hard,1,0,old,17743.694563197707
A_hard,1,1,young,49136.7211788876
A_hard,1,0,young,75810.00432707764
A_hard,0,0,old,51873.53215928792
B_easy,0,1,old,70301.21031242519
B_easy,0,0,middle,53804.530124783174
A_hard,1,0,middle,41334.99913089494
A_hard,1,0,middle,59769.622324998934
B_easy,0,1,young,90130.4046043473
A_hard,1,0,old,67319.2190369523
A_hard,1,1,old,57078.66944592033
B_easy,0,1,middle,60527.258690857634
A_hard,1,0,young,48145.783714009856
B_easy,0,1,young,48697.39020857619
A_hard,1,0,young,23277.487180460146
A_hard,1,0,middle,28098.024633600886
A_hard,1,1,middle,45747.00051782906
A_hard,1,1,young,40620.11607859984
A_hard,1,0,middle,22958.37442920473
A_hard,1,0,old,44440.149314253955
B_easy,0,1,young,55223.545133010826
A_hard,1,0,middle,27407.267170738796
A_hard,1,0,middle,39447.31484069894
B_easy,0,1,young,55185.70498925484
B_easy,0,1,middle,50750.442901133
A_hard,1,0,middle,58900.052471639094
A_hard,1,0,young,16456.47656860032
B_easy,1,1,young,30213.01513933543
A_hard,1,0,old,45049.286766736375
B_easy,0,1,young,61441.90784088459
B_easy,0,0,middle,66063.2270402846
B_easy,0,1,middle,51915.39737581359
A_hard,1,0,old,31231.14292361502
A_hard,1,0,middle,44890.25800957579
A_hard,0,0,old,38376.32796978006
A_hard,1,0,middle,68266.07106983542
B_easy,0,1,middle,55136.591251122125
