country,year,GDP
Country_5,2007,1728.2831864990158
Country_5,2008,1772.3088084990227
Country_5,2009,1826.6186916834968
Country_6,1980,1091.0271904544916
Country_6,1981,1053.5758608725846
Country_6,1982,1107.7476811073661
Country_6,1983,1115.7741338551787
Country_6,1984,1178.1454982795733
Country_6,1985,1140.8704627004213
Country_6,1986,1163.3827201320591
Country_6,1987,1191.7928472063077
Country_6,1988,1185.378399631296
Country_6,1989,1241.8983399662266
Country_6,1990,1262.2790559767648
Country_6,1991,1306.0188191215198
Country_6,1992,1335.9062817753788
Country_6,1993,1393.17600228935
Country_6,1994,1401.7741139788538
Country_6,1995,1398.8828768461874
Country_6,1996,1420.6610755316572
Country_6,1997,1477.240339767927
Country_6,1998,1470.34533132414
Country_6,1999,1563.314170690931
Country_6,2000,1580.8074976957466
Country_6,2001,1578.979556144853
Country_6,2002,1585.8676399888686
Country_6,2003,1679.6103846654084
Country_6,2004,1683.29279902069
Country_6,2005,1744.051594083726
Country_6,2006,1721.7926200252546
Country_6,2007,1776.7672962060897
Country_6,2008,1824.6347665928322
Country_6,2009,1861.9601023257324
Country_7,1980,989.9537250729878
Country_7,1981,975.6942523669068
Country_7,1982,1014.1400044732239
Country_7,1983,1039.7332586913608
Country_7,1984,1068.3626696594401
Country_7,1985,1093.4676683996083
Country_7,1986,1078.32723641783
Country_7,1987,1092.1541964049666
Country_7,1988,1170.8467458540429
Country_7,1989,1174.8453538439858
Country_7,1990,1176.593324345351
Country_7,1991,1246.417355688462
Country_7,1992,1242.0156951874292
Country_7,1993,1288.08219023288
Country_7,1994,1291.1365411108375
Country_7,1995,1356.796853409928
Country_7,1996,1377.0003496593981
Country_7,1997,1363.7521204971633
Country_7,1998,1415.5374505551667
Country_7,1999,1436.9356711585042
Country_7,2000,1479.8813463607844
Country_7,2001,1462.2604203027379
Country_7,2002,1524.9110965045957
Country_7,2003,1562.582358387711
Country_7,2004,1537.0673562952718
Country_7,2005,1580.0218186908933
Country_7,2006,1594.976085167891
Country_7,2007,1663.0878066086636
Country_7,2008,1716.1963072794254
Country_7,2009,1765.9295124486966
Country_8,1980,1036.2770499324147
Country_8,1981,996.1768046371108
Country_8,1982,1010.1867616903337
Country_8,1983,1064.0285447090532
Country_8,1984,1094.1235976395112
Country_8,1985,1107.5172394720578
Country_8,1986,1088.985715121821
Country_8,1987,1151.1588474748153
Country_8,1988,1149.9106832202754
Country_8,1989,1212.9135256715806
Country_8,1990,1230.8424411108165
Country_8,1991,1229.18308998611
Country_8,1992,1262.6629610801763
Country_8,1993,1277.2148349776694
Country_8,1994,1323.113505578294
Country_8,1995,1369.9572756842574
Country_8,1996,1358.1569969330062
Country_8,1997,1415.5098785272687
Country_8,1998,1422.932374813801
Country_8,1999,1446.350821079628
Country_8,2000,1489.3118360802814
Country_8,2001,1500.5766456965723
Country_8,2002,1540.6341358809154
Country_8,2003,1558.7837065758395
Country_8,2004,1653.6905923744966
Country_8,2005,1647.3892825499267
Country_8,2006,1665.6231815808503
Country_8,2007,1717.4896437902007
Country_8,2008,1745.2276854932102
Country_8,2009,1778.0043394261027
Country_9,1980,1045.8584892031174
Country_9,1981,1040.712478750004
Country_9,1982,1060.8325869233652
Country_9,1983,1088.2948968279516
Country_9,1984,1069.6334260916922
Country_9,1985,1107.6814651301609
Country_9,1986,1188.0824774505052
Country_9,1987,1216.8592462136726
Country_9,1988,1202.6583689913923
Country_9,1989,1243.3230108392856
Country_9,1990,1262.6527121006045
Country_9,1991,1343.133879359033
Country_9,1992,1329.5788866824184
Country_9,1993,1330.7727843931864
Country_9,1994,1340.886950135249
Country_9,1995,1355.0687877210512
Country_9,1996,1419.0109411260714
Country_9,1997,1428.1134868712154
Country_9,1998,1443.6602376204862
Country_9,1999,1488.6159603638378
Country_9,2000,1509.9474063373743
Country_9,2001,1595.9527664393067
Country_9,2002,1611.0869275516015
Country_9,2003,1625.1637622345324
Country_9,2004,1687.4285621398828
Country_9,2005,1692.5336391022763
Country_9,2006,1707.580314381745
Country_9,2007,1789.7645999218696
Country_9,2008,1805.2663616176994
Country_9,2009,1809.6330008723573
Country_10,1980,972.9707010281245
Country_10,1981,982.6367327984493
Country_10,1982,1049.0221329167236
Country_10,1983,1089.2968864148154
Country_10,1984,1044.159373201138
Country_10,1985,1104.8327239048826
Country_10,1986,1102.4319545720562
Country_10,1987,1128.0111943982886
Country_10,1988,1148.6608976302768
Country_10,1989,1166.439136243759
Country_10,1990,1208.363763228999
Country_10,1991,1214.9221949552837
Country_10,1992,1261.5811577447714
Country_10,1993,1280.2906994647753
Country_10,1994,1302.142409949505
Country_10,1995,1314.9085250637381
Country_10,1996,1348.1855676592947
Country_10,1997,1402.02323867259
Country_10,1998,1424.672066191684
Country_10,1999,1423.395691992009
Country_10,2000,1473.7923789343242
Country_10,2001,1516.2695899496903
Country_10,2002,1497.8785788094722
Country_10,2003,1572.7592219681364
Country_10,2004,1579.8773833040318
Country_10,2005,1636.404429024471
Country_10,2006,1642.2271216348095
Country_10,2007,1654.5445088476827
Country_10,2008,1691.9041451205294
Country_10,2009,1759.905792688984
